time,signal
3.5625758171081543,1252
3.587683916091919,1337
3.6124110221862793,1414
3.637485980987549,1475
3.6623990535736084,1544
3.687215805053711,1616
3.71225905418396,1686
3.7371180057525635,1745
3.7621209621429443,1790
3.7868239879608154,1830
3.8116791248321533,1881
3.8365819454193115,1944
3.861629009246826,2001
3.886579990386963,1872
3.9128990173339844,1453
3.9361209869384766,944
3.9611639976501465,658
3.986025094985962,633
4.010932922363281,758
4.035819053649902,912
4.0610270500183105,1046
4.08578896522522,1009
4.110759973526001,1048
4.1355509757995605,1096
4.16055703163147,1161
4.185453176498413,1200
4.210532903671265,1194
4.235224008560181,1174
4.26009202003479,1170
4.284991025924683,1197
4.310122966766357,1258
4.334906816482544,1349
4.359781980514526,1453
4.384461164474487,1552
4.409512042999268,1638
4.4344871044158936,1724
4.459095001220703,1805
4.483989000320435,1877
4.509060859680176,1938
4.533921003341675,1990
4.559190988540649,2046
4.583791971206665,2109
4.608910083770752,2179
4.63374400138855,2256
4.658785104751587,2337
4.6835551261901855,2311
4.708658933639526,1981
4.7333221435546875,1426
4.7583911418914795,1003
4.783032178878784,855
4.8080830574035645,904
4.833071947097778,1044
4.857999801635742,1193
4.88262414932251,950
4.907918214797974,1028
4.932692050933838,1108
4.957604885101318,1175
4.982367038726807,1199
5.007479190826416,1168
5.032048940658569,1111
5.057415962219238,1067
5.0821919441223145,1070
5.107023000717163,1114
5.131864070892334,1175
5.156987905502319,1246
5.181869029998779,1338
5.20654296875,1435
5.231474876403809,1528
5.256572008132935,1600
5.281394004821777,1674
5.306318998336792,1734
5.331480026245117,1776
5.356161117553711,1813
5.380955934524536,1854
5.406136989593506,1920
5.430866956710815,1946
5.455920934677124,1709
5.480633974075317,1193
5.505537986755371,709
5.530166149139404,501
5.555361986160278,517
5.580115079879761,643
5.605133056640625,792
5.62981104850769,928
5.655220985412598,1012
5.679964065551758,1094
5.7049338817596436,1166
5.729887008666992,1184
5.754628896713257,1151
5.779331207275391,1101
5.8045570850372314,1073
5.829411029815674,1072
5.8543407917022705,1108
5.879246234893799,1174
5.904110908508301,1245
5.9289820194244385,1324
5.953797817230225,1414
5.97900915145874,1501
6.003741025924683,1578
6.02851414680481,1653
6.0533740520477295,1725
6.0782740116119385,1802
6.103205919265747,1884
6.128099203109741,1957
6.1528778076171875,2026
6.177878141403198,2110
6.202764987945557,2043
6.227747201919556,1617
6.252454042434692,999
6.277461051940918,576
6.302191972732544,452
6.327244997024536,509
6.352062940597534,635
6.377036094665527,756
6.402087926864624,892
6.427045822143555,939
6.451807022094727,1001
6.476791143417358,1061
6.501795053482056,1089
6.526726007461548,1084
6.5515220165252686,1066
6.576473951339722,1044
6.601463079452515,1043
6.6265339851379395,1070
6.6514739990234375,1129
6.676411867141724,1202
6.7011590003967285,1293
6.726244926452637,1387
6.750988006591797,1479
6.7759108543396,1574
6.800846815109253,1659
6.825845956802368,1728
6.850564956665039,1790
6.875690937042236,1857
6.900431871414185,1927
6.9255149364471436,2001
6.951678991317749,2073
6.975237846374512,2066
7.000014066696167,1746
7.025047063827515,1181
7.04948091506958,719
7.074648857116699,538
7.099617004394531,548
7.124598979949951,637
7.149255037307739,749
7.174428939819336,814
7.199171781539917,879
7.224153995513916,947
7.249210834503174,1019
7.274306058883667,1058
7.29894495010376,1028
7.323736190795898,967
7.348597049713135,921
7.373693943023682,918
7.398483037948608,946
7.423662900924683,995
7.448554039001465,1062
7.473282098770142,1134
7.498076915740967,1205
7.523046016693115,1270
7.547965049743652,1333
7.5728771686553955,1389
7.598199129104614,1428
7.622859001159668,1470
7.647552967071533,1515
7.6728270053863525,1562
7.697624921798706,1604
7.722429037094116,1492
7.747128009796143,1100
7.771942853927612,582
7.796781063079834,249
7.8218488693237305,161
7.846632957458496,207
7.87162184715271,297
7.896459102630615,373
7.921566963195801,754
7.94651198387146,782
7.971814870834351,831
7.996312856674194,876
8.021211862564087,884
8.046222925186157,854
8.071120023727417,827
8.095807075500488,803
8.120842933654785,804
8.145752191543579,845
8.170713901519775,912
8.195858001708984,989
8.220628023147583,1056
8.24557900428772,1125
8.270435810089111,1193
8.295398950576782,1255
8.320304870605469,1309
8.34506607055664,1353
8.370137929916382,1393
8.395053148269653,1449
8.419982194900513,1510
8.444898128509521,1570
8.469691038131714,1590
8.494659185409546,1368
8.519288063049316,879
8.544148921966553,398
8.568886995315552,170
8.593810081481934,147
8.618837118148804,217
8.643858909606934,291
8.668607950210571,336
8.693470001220703,714
8.718503952026367,734
8.743478059768677,774
8.769778966903687,826
8.793047189712524,843
8.818084955215454,827
8.842917919158936,801
8.867955923080444,786
8.892630100250244,802
8.917511940002441,840
8.942594051361084,891
8.967544078826904,940
8.992500066757202,1003
9.017460107803345,1065
9.042387008666992,1133
9.06724214553833,1193
9.09236192703247,1251
9.116956949234009,1296
9.142077922821045,1345
9.166937828063965,1389
9.191950798034668,1413
9.21671199798584,1441
9.24178409576416,1490
9.26665186882019,1476
9.29185700416565,1226
9.316340923309326,762
9.341351985931396,363
9.366186141967773,198
9.391160011291504,201
9.416077136993408,269
9.440844058990479,340
9.465770959854126,698
9.49076795578003,720
9.51568603515625,744
9.540696859359741,787
9.56541895866394,798
9.590517044067383,768
9.615237951278687,721
9.640307903289795,687
9.665026187896729,697
9.690032958984375,736
9.714905977249146,787
9.739873170852661,838
9.764676809310913,881
9.789695024490356,930
9.814532995223999,978
9.839683055877686,1035
9.864618062973022,1081
9.889679908752441,1108
9.914304971694946,1144
9.939263105392456,1187
9.964282989501953,1225
9.990844011306763,1261
10.013906002044678,1308
10.038957834243774,1373
10.063663959503174,1409
10.08876895904541,1234
10.113348960876465,805
10.138463020324707,339
10.162837982177734,93
10.188003063201904,47
10.212898015975952,90
10.238249063491821,142
10.262857913970947,164
10.287757158279419,608
10.31246280670166,601
10.33755898475647,624
10.362406015396118,661
10.387169122695923,676
10.412088871002197,666
10.437111139297485,643
10.46211314201355,626
10.48696494102478,628
10.511720895767212,662
10.536755084991455,712
10.561654090881348,766
10.586750984191895,827
10.61146092414856,889
10.636525869369507,951
10.661471128463745,995
10.686638832092285,1038
10.711481809616089,1082
10.736406087875366,1127
10.761289119720459,1165
10.786200761795044,1211
10.811155080795288,1258
10.835952997207642,1305
10.860995054244995,1364
10.885830879211426,1431
10.910801887512207,1494
10.935844898223877,1427
10.9605131149292,1095
10.985069751739502,632
11.010025024414062,332
11.035040140151978,246
11.05986213684082,276
11.084739208221436,340
11.109732866287231,393
11.134700059890747,671
11.159775018692017,668
11.184561967849731,677
11.209672927856445,711
11.23438286781311,742
11.259485960006714,738
11.283992052078247,714
11.309208154678345,691
11.333981037139893,689
11.359018087387085,707
