14:51:11.940  14,0,71,785830
14:51:14.668 R,8682,8795,9525,11295,8682,8795,9525,11295,24222,25924,21351,24528,  10,-253,  22,0,71,b87030
14:51:14.668 R,8673,8789,9504,11269,8673,8789,9504,11269,24224,25929,21352,24530,  10,-253,  21,0,71,c87030
14:51:14.668 R,8681,8798,9526,11298,8681,8798,9526,11298,24224,25928,21351,24531,  10,-252,  21,0,71,d87030
14:51:14.792 R,8685,8800,9529,11298,8685,8800,9529,11298,24226,25929,21350,24534,  10,-253,  22,0,71,e87030
14:51:14.792 R,8683,8799,9527,11298,8683,8799,9527,11298,24226,25926,21349,24531,   9,-253,  22,0,71,f87030
14:51:14.792 R,8676,8785,9517,11278,8676,8785,9517,11278,24218,25911,21334,24513,  12,-251,  22,0,71,787100
14:51:14.792 R,8676,8786,9515,11277,8676,8786,9515,11277,24223,25914,21331,24510,  12,-252,  22,0,71,887100
14:51:14.792 R,8677,8781,9514,11275,8677,8781,9514,11275,24215,25915,21329,24509,  13,-253,  22,0,71,987100
14:51:14.942 R,8676,8781,9515,11277,8676,8781,9515,11277,24217,25908,21328,24506,  11,-254,  21,0,71,a87100
14:51:14.942 R,8673,8780,9514,11274,8673,8780,9514,11274,24214,25908,21328,24504,  12,-254,  21,0,71,b87100
14:51:14.942 R,8669,8778,9513,11270,8669,8778,9513,11270,24209,25902,21324,24497,   9,-253,  22,0,71,287160
14:51:14.942 R,8672,8779,9510,11268,8672,8779,9510,11268,24208,25901,21323,24498,   8,-252,  21,0,71,387160
14:51:14.942 R,8660,8770,9508,11246,8660,8770,9508,11246,24206,25901,21321,24488,   9,-252,  21,0,71,487160
14:51:15.091 R,8668,8778,9511,11270,8668,8778,9511,11270,24205,25902,21322,24495,  10,-253,  21,0,71,587160
14:51:15.091 R,8670,8776,9511,11269,8670,8776,9511,11269,24204,25901,21326,24494,  10,-252,  20,0,71,687160
14:51:15.091 R,8669,8779,9513,11270,8669,8779,9513,11270,24203,25903,21326,24500,  10,-253,  21,0,71,d87220
14:51:15.091 R,8668,8779,9511,11269,8668,8779,9511,11269,24208,25901,21326,24500,   9,-254,  22,0,71,e87220
14:51:15.091 R,8668,8777,9511,11269,8668,8777,9511,11269,24203,25904,21323,24495,  10,-254,  21,0,71,f87220
14:51:15.091 R,8668,8778,9512,11271,8668,8778,9512,11271,24205,25900,21324,24498,  11,-255,  20,0,71,087220
14:51:15.241 R,8668,8778,9511,11271,8668,8778,9511,11271,24204,25900,21326,24498,  12,-254,  20,0,71,187220
14:51:15.241 R,8671,8779,9515,11273,8671,8779,9515,11273,24204,25906,21328,24503,   9,-253,  23,0,71,887280
14:51:15.241 R,8669,8782,9513,11273,8669,8782,9513,11273,24205,25906,21327,24501,  10,-252,  22,0,71,987280
14:51:15.241 R,8670,8781,9515,11276,8670,8781,9515,11276,24205,25909,21326,24502,  10,-253,  22,0,71,a87280
14:51:15.241 R,8669,8782,9515,11277,8669,8782,9515,11277,24205,25908,21328,24501,  11,-252,  23,0,71,b87280
14:51:15.392 R,8671,8784,9515,11276,8671,8784,9515,11276,24213,25910,21331,24501,  11,-253,  23,0,71,c87280
14:51:15.392 R,8672,8786,9516,11280,8672,8786,9516,11280,24213,25915,21335,24515,  10,-254,  22,0,71,487350
14:51:15.392 R,8676,8789,9518,11283,8676,8789,9518,11283,24209,25915,21334,24513,  10,-253,  23,0,71,587350
14:51:15.392 R,8675,8790,9524,11285,8675,8790,9524,11285,24214,25913,21339,24520,  10,-253,  23,0,71,687350
14:51:15.392 R,8676,8789,9520,11286,8676,8789,9520,11286,24214,25917,21339,24515,  10,-254,  22,0,71,787350
14:51:15.543 R,8673,8789,9519,11287,8673,8789,9519,11287,24208,25916,21337,24516,   9,-254,  23,0,71,887350
14:51:15.543 R,8676,8792,9521,11286,8676,8792,9521,11286,24208,25906,21339,24510,  10,-254,  22,0,71,987350
14:51:15.543 R,8679,8793,9524,11292,8679,8793,9524,11292,24215,25924,21348,24526,   9,-253,  21,0,71,f87400
14:51:15.543 R,8679,8795,9526,11295,8679,8795,9526,11295,24218,25926,21345,24525,   9,-253,  22,0,71,087400
14:51:15.543 R,8680,8797,9525,11295,8680,8797,9525,11295,24216,25928,21346,24526,   9,-253,  23,0,71,187400
14:51:15.692 R,8682,8798,9525,11293,8682,8798,9525,11293,24220,25927,21347,24530,   8,-253,  22,0,71,287400
14:51:15.692 R,8685,8801,9517,11297,8685,8801,9517,11297,24222,25933,21347,24535,  10,-254,  21,0,71,387400
14:51:15.692 R,8677,8787,9506,11276,8677,8787,9506,11276,24214,25923,21324,24508,   6,-249,  24,0,71,a87460
14:51:15.692 R,8671,8778,9515,11269,8671,8778,9515,11269,24210,25914,21323,24494,   8,-250,  23,0,71,b87460
